ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,13306 ALUMINUM EXTRACTABLE mg/L,20101 CALCIUM DISSOLVED/FILTERED mg/L,20103 CALCIUM DISSOLVED/FILTERED mg/L,20110 CALCIUM DISSOLVED/FILTERED mg/L,29305 COPPER EXTRACTABLE mg/L,29003 COPPER TOTAL (CU) mg/L,29009 COPPER TOTAL (CU) mg/L,82302 LEAD EXTRACTABLE mg/L,82004 LEAD TOTAL mg/L,82005 LEAD TOTAL mg/L,101481 NICKEL TOTAL mg/L,28004 NICKEL TOTAL mg/L,28009 NICKEL TOTAL mg/L,7306 NITROGEN DISSOLVED NITRATE mg/L,7205 NITROGEN DISSOLVED NITRITE mg/L,7206 NITROGEN DISSOLVED NITRITE mg/L,8102 OXYGEN DISSOLVED (FIELD METER) mg/L,8301 OXYGEN TOTAL COD mg/L,10301 PH (LAB) pH units,15406 PHOSPHORUS TOTAL (P) mg/L,15422 PHOSPHORUS TOTAL (P) mg/L,2073 TURBIDITY JTU,2074 TURBIDITY NTU,23009 VANADIUM TOTAL mg/L
ABS002,88AB003445,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,,N,,03/08/1988 16:01:00,0.033,,,54,,,L0.001,L0.003,,,,,0.002,,,L0.001,9.7,,8.2,,0.0157,,0.5,L0.002
ABS002,88AB003446,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:02:00,,,,,,,,,,,,,,,,,9.2,,,,,,,
ABS002,88AB003447,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:03:00,,,,,,,,,,,,,,,,,8.6,,,,,,,
ABS002,88AB003448,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:04:00,,,,,,,,,,,,,,,,,7.5,,,,,,,
ABS002,88AB003449,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:05:00,,,,,,,,,,,,,,,,,5.3,,,,,,,
ABS002,88AB003450,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:06:00,,,,,,,,,,,,,,,,,2.4,,,,,,,
ABS002,88AB003451,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:07:00,,,,,,,,,,,,,,,,,1.5,,,,,,,
ABS002,88AB003452,MAC,ATH,07DA,1,AB07DA2340,"MILDRED LAKE (L36), PROFILE AT CENTRE",57.055560,-111.588890,0,1,122,N,,03/08/1988 16:08:00,,,,,,,,,,,,,,,,,0,,,,,,,
ABSA02,72AB004521,MAC,ATH,07DA,1,AB07DA2850,"MILDRED LAKE, (NO DESCRIP)",57.054440,-111.577780,0,1,,N,,07/31/1972 12:00:00,,,34.1,,,,,,,,,,,,,,,,8.4,,,,,
ABSA02,72AB004522,MAC,ATH,07DA,1,AB07DA2860,"MILDRED LAKE, (NO DESCRIP)",57.054440,-111.577780,0,1,,N,,10/05/1972 12:00:00,,,36,,,,,,,,,,,,,,,,7.8,,,,,
ABSA02,73AB005073,MAC,ATH,07DA,1,AB07DA2870,"MILDRED LAKE, (NO DESCRIP)",57.054440,-111.577780,0,1,,N,,06/17/1973 12:00:00,,,30,,,,,,,,,,,L0.1,L0.1,,,,8.5,,,,,
ABSA02,73AB005074,MAC,ATH,07DA,1,AB07DA2880,"MILDRED LAKE, EAST SIDE GRAB",57.042280,-111.558920,0,1,,N,,08/14/1973 12:00:00,,,20,,,,,,,,,,,L0.1,L0.1,,,,8.6,,,,,
ABS002,72AB000262,MAC,ATH,07DA,1,AB07DA2350,"MILDRED LAKE, GRAB",57.055560,-111.588890,0,1,,N,,07/31/1972 12:00:00,,34.1,,,0.073,,,L0.004,,,,,,,,,,,8.4,,,3,,
ABS002,72AB000263,MAC,ATH,07DA,1,AB07DA2350,"MILDRED LAKE, GRAB",57.055560,-111.588890,0,1,,N,,10/05/1972 12:00:00,,36,,,,0.004,,,,0.018,,0.004,,,,,,,7.8,0.9,,4,,
ABS002,73AB000989,MAC,ATH,07DA,1,AB07DA2350,"MILDRED LAKE, GRAB",57.055560,-111.588890,0,1,,N,,06/17/1973 19:35:00,,30,,,,0.005,,,,0.002,,0.005,,,,,,33,8.5,0.2,,3,,
ABS002,73AB000990,MAC,ATH,07DA,1,AB07DA2350,"MILDRED LAKE, GRAB",57.055560,-111.588890,0,1,,N,,08/14/1973 17:35:00,,20,,,,L0.001,,,,0.002,,L0.001,,,,L0.1,,36,8.6,0.4,,2,,
ABSA02,74AB003052,MAC,ATH,07DA,1,AB07DA2890,"MILDRED LAKE, GRAB",57.052110,-111.582840,0,1,,N,,08/01/1974 12:00:00,,,37,,,,,,,,,,,L0.01,L0.1,,,,8.3,,,,,
ABS002,74AB000953,MAC,ATH,07DA,1,AB07DA2350,"MILDRED LAKE, GRAB",57.055560,-111.588890,0,1,,N,,08/19/1974 11:30:00,,,,,,,0.016,,L0.001,,0.003,,,,,L0.1,,27,7.4,,,4,,
